state,state_code,commercial_operation_allowed,driverless_testing_allowed,statewide_rules,local_rules_allowed,human_operator_required,special_permit_required,insurance_minimum,policy_summary,source_url,research_status,last_verified,source_name,source_type,source_status,region,jurisdiction_type,include_in_state_ranking,Human-operator restrictions,Market-entry restrictions,Other operational restrictions,Screening and approval,restrictiveness_index,score_status,commercial_access_status
Minnesota,MN,0,0,0,1,1,0,0,Minnesota does not currently have a comprehensive autonomous vehicle statute. Testing and operation must comply with existing traffic and vehicle laws.,https://dot.state.mn.us/automated/preparingmn.html,Preliminary review,2026-07-20,Minnesota official government source (dot.state.mn.us),Transportation agency,Source added,Midwest,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
Mississippi,MS,1,1,1,0,0,1,0,"Mississippi permits fully autonomous vehicles but requires registration, financial responsibility, and a law-enforcement interaction plan.",https://www.legislature.ms.gov/media/1323/2023_summary_final.pdf,Preliminary review,2026-07-20,Mississippi official government source (legislature.ms.gov),Legislation or statute,Source added,South,State,True,0.0,0.0,0.0,0.05,0.05,Provisional,Legal pathway identified
Missouri,MO,0,0,0,1,1,0,0,Missouri considered legislation in 2026 that would authorize fully autonomous vehicles and establish uniform statewide rules. The proposal is treated as pending until enactment is confirmed.,https://documents.house.mo.gov/billtracking/bills261/sumpdf/HB2069C.pdf,Preliminary review,2026-07-20,Missouri official government source (documents.house.mo.gov),Legislation or statute,Source added,Midwest,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
Montana,MT,0,0,1,0,1,1,0,Montana restricts Level 4 and Level 5 automated driving systems unless operation is specifically authorized through state rulemaking. Broad commercial driverless deployment is not treated as generally authorized.,https://leg.mt.gov/content/Committees/Interim/2023-2024/Transportation/Meetings/September-2024/4.2.06.010-AV-Report-LSD.pdf,Preliminary review,2026-07-20,Montana official government source (leg.mt.gov),Government agency,Source added,West,State,True,0.0,1.0,0.0,0.0,1.0,Provisional,No general pathway identified
Nebraska,NE,1,1,1,0,0,0,0,Nebraska authorizes driverless-capable vehicles and on-demand autonomous transportation networks under uniform statewide rules.,https://nebraskalegislature.gov/laws/statutes.php?statute=60-3303,Preliminary review,2026-07-20,Nebraska official government source (nebraskalegislature.gov),Legislation or statute,Source added,Midwest,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
Nevada,NV,1,1,1,0,0,0,0,State law broadly permits automated vehicle operation.,https://www.leg.state.nv.us/nrs/nrs-482a.html,Preliminary review,2026-07-20,Nevada Revised Statutes Chapter 482A,State statute,Official source verified,West,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
New Hampshire,NH,0,1,1,1,1,1,0,New Hampshire has a statewide automated vehicle testing and deployment pilot program. Participation requires approval and does not amount to broad unrestricted commercial authorization.,https://gc.nh.gov/rsa/html/XX/242/242-mrg.htm,Preliminary review,2026-07-20,New Hampshire official government source (gc.nh.gov),Government agency,Source added,Northeast,State,True,0.1,0.5,0.1,0.05,0.75,Provisional,No general pathway identified
New Jersey,NJ,0,0,0,1,1,1,0,"New Jersey has not been coded as authorizing broad commercial driverless operation. Senate Bill 1677 proposes a three-year fully autonomous vehicle pilot program, but this dataset treats the measure as a proposal rather than current law.",https://www.njleg.state.nj.us/bill-search/2026/S1677/bill-text?f=S2000&n=1677_U1,Official legislative source reviewed; pilot proposal not coded as enacted,2026-07-20,New Jersey official government source (njleg.state.nj.us),Needs source review,Source added,Northeast,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
New Mexico,NM,0,1,1,0,0,1,0,"New Mexico enacted a statewide autonomous vehicle framework. Testing requires advance notification to the transportation department, and local governments generally cannot prohibit AV testing or operation. The cited material supports testing or autonomous-vehicle activity, but does not independently confirm general commercial driverless deployment.",https://www.nmlegis.gov/Legislation/Legislation?Chamber=H&LegNo=270&LegType=B&year=21,Commercial deployment not confirmed by official source,2026-07-20,New Mexico official government source (nmlegis.gov),Legislation or statute,Source added,West,State,True,0.0,0.5,0.0,0.05,0.55,Provisional,No general pathway identified
New York,NY,0,0,1,1,1,1,5000000,New York requires a DMV permit for autonomous vehicle testing or demonstrations. Broad public commercial driverless operation has not yet been authorized under the testing framework.,https://dmv.ny.gov/business/autonomous-vehicle-technology-demonstration-testing-permit,Preliminary review,2026-07-20,New York official government source (dmv.ny.gov),Transportation agency,Source added,Northeast,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
North Carolina,NC,1,1,1,0,0,0,0,North Carolina permits fully autonomous vehicles and prevents local governments from creating separate AV operating rules.,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-401.html,Preliminary review,2026-07-20,North Carolina official government source (ncleg.gov),Government agency,Source added,South,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
North Dakota,ND,1,1,1,0,0,0,0,North Dakota allows autonomous vehicles without human drivers and permits on-demand autonomous transportation networks. Local governments generally cannot impose AV-specific fees or operating requirements.,https://ndlegis.gov/cencode/t39c01.pdf,Preliminary review,2026-07-20,North Dakota official government source (ndlegis.gov),Legislation or statute,Source added,Midwest,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
Ohio,OH,0,1,1,1,0,1,0,Ohio permits autonomous vehicle testing after registration with DriveOhio. The current framework primarily supports testing and pilot deployment rather than broad public commercial service.,https://drive.ohio.gov/about/policy,Preliminary review,2026-07-20,Ohio official government source (drive.ohio.gov),Transportation agency,Source added,Midwest,State,True,0.0,0.5,0.1,0.05,0.65,Provisional,No general pathway identified
Oklahoma,OK,1,1,1,0,0,0,0,Oklahoma permits fully autonomous operation under statewide rules and preempts separate county and municipal AV laws.,https://oksenate.gov/press-releases/bill-regulate-self-driving-vehicles-signed-law,Preliminary review,2026-07-20,Oklahoma official government source (oksenate.gov),Legislation or statute,Source added,South,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
Oregon,OR,0,0,1,1,1,0,5000000,"Oregon coordinates automated vehicle policy through ODOT. Its testing-notification process is voluntary and requests evidence of at least $5 million in financial responsibility, but the state does not broadly authorize commercial driverless service.",https://www.oregon.gov/odot/programs/pages/cav.aspx,Preliminary review,2026-07-20,Oregon official government source (oregon.gov),Government agency,Source added,West,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
Pennsylvania,PA,1,1,1,0,0,1,0,"Pennsylvania allows highly automated vehicles to operate with or without an onboard human driver, subject to state certification and compliance requirements.",https://www.pa.gov/agencies/penndot/research-planning-and-innovation/automated-vehicle,Preliminary review,2026-07-20,Pennsylvania official government source (pa.gov),Government agency,Source added,Northeast,State,True,0.0,0.0,0.0,0.05,0.05,Provisional,Legal pathway identified
Rhode Island,RI,0,0,0,1,1,1,0,"Rhode Island has conducted autonomous shuttle pilots, but has not enacted a comprehensive statewide framework for broad commercial driverless deployment.",https://planning.ri.gov/sites/g/files/xkgbur826/files/documents/LRTP/LRTP-app/Appendix-D.pdf,Preliminary review,2026-07-20,Rhode Island official government source (planning.ri.gov),Government agency,Source added,Northeast,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
South Carolina,SC,0,0,0,1,1,0,0,"South Carolina has considered autonomous vehicle legislation, but a current comprehensive statewide framework for broad commercial driverless operation was not identified in this preliminary review.",https://www.scstatehouse.gov/sess120_2013-2014/bills/4015.htm,Preliminary review,2026-07-20,South Carolina official government source (scstatehouse.gov),Legislation or statute,Source added,South,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
South Dakota,SD,1,1,1,0,0,0,0,South Dakota permits fully autonomous vehicles to operate without a human driver and generally prevents state agencies or local governments from prohibiting their operation.,https://sdlegislature.gov/Statutes/32-41,Preliminary review,2026-07-20,South Dakota official government source (sdlegislature.gov),Legislation or statute,Source added,Midwest,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
Tennessee,TN,1,1,1,0,0,0,5000000,Tennessee permits ADS-operated vehicles without a human driver but requires substantial liability coverage.,https://wapp.capitol.tn.gov/apps/BillInfo/Default?BillNumber=SB0151&ga=110,Preliminary review,2026-07-20,Tennessee official government source (wapp.capitol.tn.gov),Legislation or statute,Source added,South,State,True,0.0,0.0,0.05,0.0,0.05,Provisional,Legal pathway identified
Texas,TX,1,1,1,0,0,0,0,Uniform statewide rules limit separate municipal AV regulation.,https://statutes.capitol.texas.gov/Docs/TN/htm/TN.545.htm,Preliminary review,2026-07-20,,Missing,Official source added,South,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
Utah,UT,1,1,1,0,0,0,0,Utah has a statewide autonomous vehicle framework.,https://le.utah.gov/xcode/Title41/Chapter26/41-26.html,Preliminary review,2026-07-20,Utah official government source (le.utah.gov),Government agency,Source added,West,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
Vermont,VT,0,0,1,0,1,1,5000000,"Vermont allows permitted AV testing, but requires an onboard human operator capable of immediately taking control and at least $5 million in liability coverage.",https://legislature.vermont.gov/statutes/section/23/041/04203,Preliminary review,2026-07-20,Vermont official government source (legislature.vermont.gov),Legislation or statute,Source added,Northeast,State,True,0.0,1.0,0.0,0.0,1.0,Provisional,No general pathway identified
Virginia,VA,0,0,0,1,1,0,0,Virginia does not yet have a comprehensive statewide framework for driverless commercial deployment. A state work group is developing recommendations and draft legislation.,https://law.lis.virginia.gov/uncodifiedacts/2025/session1/chapter498/,Preliminary review,2026-07-20,Virginia official government source (law.lis.virginia.gov),Government agency,Source added,South,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
Washington,WA,0,1,1,1,0,1,5000000,"Washington operates an autonomous vehicle self-certification testing program. Participating entities must maintain at least $5 million in liability insurance, but the program does not provide broad commercial authorization.",https://app.leg.wa.gov/rcw/default.aspx?cite=46.30&full=true,Preliminary review,2026-07-20,Washington official government source (app.leg.wa.gov),Government agency,Source added,West,State,True,0.0,0.5,0.1,0.05,0.65,Provisional,No general pathway identified
West Virginia,WV,1,1,1,0,0,0,0,"West Virginia permits fully autonomous passenger and commercial vehicles. Local governments cannot impose separate AV-specific fees, taxes, performance standards, or operating restrictions.",https://code.wvlegislature.gov/17H-1/,Preliminary review,2026-07-20,West Virginia official government source (code.wvlegislature.gov),Legislation or statute,Source added,South,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
Wisconsin,WI,0,0,0,0,1,0,0,Wisconsin currently requires an operator to remain behind the wheel and in physical control of the vehicle. Testing is allowed only when a responsible human operator is present.,https://wisconsindot.gov/Pages/projects/multimodal/cav/Rules.aspx,Preliminary review,2026-07-20,Wisconsin official government source (wisconsindot.gov),Transportation agency,Source added,Midwest,State,True,0.0,1.0,0.0,0.0,1.0,Provisional,No general pathway identified
Wyoming,WY,0,1,1,0,0,1,0,"Wyoming has a statewide framework regulating the registration, licensing, testing, and operation of vehicles equipped with automated driving systems. The cited material supports testing or autonomous-vehicle activity, but does not independently confirm general commercial driverless deployment.",https://wyoleg.gov/Legislation/2022/SF0016,Commercial deployment not confirmed by official source,2026-07-20,Wyoming official government source (wyoleg.gov),Government agency,Source added,West,State,True,0.0,0.5,0.0,0.05,0.55,Provisional,No general pathway identified
District of Columbia,DC,,,,,,,,No source-complete commercial driverless passenger-service classification is included in this release.,,Unclassified - evidence review required,,,Missing,Missing source,South,Federal district,False,,,,,,Unclassified,Unclassified
