state,state_code,policy_summary,source_name,source_type,source_url,source_status,last_verified
Mississippi,MS,"Mississippi permits fully autonomous vehicles but requires registration, financial responsibility, and a law-enforcement interaction plan.",Mississippi official government source (legislature.ms.gov),Legislation or statute,https://www.legislature.ms.gov/media/1323/2023_summary_final.pdf,Source added,2026-07-20
Missouri,MO,Missouri considered legislation in 2026 that would authorize fully autonomous vehicles and establish uniform statewide rules. The proposal is treated as pending until enactment is confirmed.,Missouri official government source (documents.house.mo.gov),Legislation or statute,https://documents.house.mo.gov/billtracking/bills261/sumpdf/HB2069C.pdf,Source added,2026-07-20
Montana,MT,Montana restricts Level 4 and Level 5 automated driving systems unless operation is specifically authorized through state rulemaking. Broad commercial driverless deployment is not treated as generally authorized.,Montana official government source (leg.mt.gov),Government agency,https://leg.mt.gov/content/Committees/Interim/2023-2024/Transportation/Meetings/September-2024/4.2.06.010-AV-Report-LSD.pdf,Source added,2026-07-20
Nebraska,NE,Nebraska authorizes driverless-capable vehicles and on-demand autonomous transportation networks under uniform statewide rules.,Nebraska official government source (nebraskalegislature.gov),Legislation or statute,https://nebraskalegislature.gov/laws/statutes.php?statute=60-3303,Source added,2026-07-20
Nevada,NV,State law broadly permits automated vehicle operation.,,Missing,,Missing source,2026-07-20
New Hampshire,NH,New Hampshire has a statewide automated vehicle testing and deployment pilot program. Participation requires approval and does not amount to broad unrestricted commercial authorization.,New Hampshire official government source (gc.nh.gov),Government agency,https://gc.nh.gov/rsa/html/XX/242/242-mrg.htm,Source added,2026-07-20
New Jersey,NJ,New Jersey does not yet have a comprehensive enacted framework for broad commercial driverless operation. A pending bill would create a three-year fully autonomous vehicle pilot program.,New Jersey official government source (njleg.state.nj.us),Needs source review,https://www.njleg.state.nj.us/bill-search/2026/S1677/bill-text?f=S2000&n=1677_U1,Source added,2026-07-20
New Mexico,NM,"New Mexico enacted a statewide autonomous vehicle framework. Testing requires advance notification to the transportation department, and local governments generally cannot prohibit AV testing or operation.",New Mexico official government source (nmlegis.gov),Legislation or statute,https://www.nmlegis.gov/Legislation/Legislation?Chamber=H&LegNo=270&LegType=B&year=21,Source added,2026-07-20
New York,NY,New York requires a DMV permit for autonomous vehicle testing or demonstrations. Broad public commercial driverless operation has not yet been authorized under the testing framework.,New York official government source (dmv.ny.gov),Transportation agency,https://dmv.ny.gov/business/autonomous-vehicle-technology-demonstration-testing-permit,Source added,2026-07-20
North Carolina,NC,North Carolina permits fully autonomous vehicles and prevents local governments from creating separate AV operating rules.,North Carolina official government source (ncleg.gov),Government agency,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-401.html,Source added,2026-07-20
North Dakota,ND,North Dakota allows autonomous vehicles without human drivers and permits on-demand autonomous transportation networks. Local governments generally cannot impose AV-specific fees or operating requirements.,North Dakota official government source (ndlegis.gov),Legislation or statute,https://ndlegis.gov/cencode/t39c01.pdf,Source added,2026-07-20
Ohio,OH,Ohio permits autonomous vehicle testing after registration with DriveOhio. The current framework primarily supports testing and pilot deployment rather than broad public commercial service.,Ohio official government source (drive.ohio.gov),Transportation agency,https://drive.ohio.gov/about/policy,Source added,2026-07-20
Oklahoma,OK,Oklahoma permits fully autonomous operation under statewide rules and preempts separate county and municipal AV laws.,Oklahoma official government source (oksenate.gov),Legislation or statute,https://oksenate.gov/press-releases/bill-regulate-self-driving-vehicles-signed-law,Source added,2026-07-20
Oregon,OR,"Oregon coordinates automated vehicle policy through ODOT. Its testing-notification process is voluntary and requests evidence of at least $5 million in financial responsibility, but the state does not broadly authorize commercial driverless service.",Oregon official government source (oregon.gov),Government agency,https://www.oregon.gov/odot/programs/pages/cav.aspx,Source added,2026-07-20
Pennsylvania,PA,"Pennsylvania allows highly automated vehicles to operate with or without an onboard human driver, subject to state certification and compliance requirements.",Pennsylvania official government source (pa.gov),Government agency,https://www.pa.gov/agencies/penndot/research-planning-and-innovation/automated-vehicle,Source added,2026-07-20
Rhode Island,RI,"Rhode Island has conducted autonomous shuttle pilots, but has not enacted a comprehensive statewide framework for broad commercial driverless deployment.",Rhode Island official government source (planning.ri.gov),Government agency,https://planning.ri.gov/sites/g/files/xkgbur826/files/documents/LRTP/LRTP-app/Appendix-D.pdf,Source added,2026-07-20
South Carolina,SC,"South Carolina has considered autonomous vehicle legislation, but a current comprehensive statewide framework for broad commercial driverless operation was not identified in this preliminary review.",South Carolina official government source (scstatehouse.gov),Legislation or statute,https://www.scstatehouse.gov/sess120_2013-2014/bills/4015.htm,Source added,2026-07-20
South Dakota,SD,South Dakota permits fully autonomous vehicles to operate without a human driver and generally prevents state agencies or local governments from prohibiting their operation.,South Dakota official government source (sdlegislature.gov),Legislation or statute,https://sdlegislature.gov/Statutes/32-41,Source added,2026-07-20
Tennessee,TN,Tennessee permits ADS-operated vehicles without a human driver but requires substantial liability coverage.,Tennessee official government source (wapp.capitol.tn.gov),Legislation or statute,https://wapp.capitol.tn.gov/apps/BillInfo/Default?BillNumber=SB0151&ga=110,Source added,2026-07-20
Texas,TX,Uniform statewide rules limit separate municipal AV regulation.,,Missing,https://statutes.capitol.texas.gov/Docs/TN/htm/TN.545.htm,Official source added,2026-07-20
Utah,UT,Utah has a statewide autonomous vehicle framework.,Utah official government source (le.utah.gov),Government agency,https://le.utah.gov/xcode/Title41/Chapter26/41-26.html,Source added,2026-07-20
Vermont,VT,"Vermont allows permitted AV testing, but requires an onboard human operator capable of immediately taking control and at least $5 million in liability coverage.",Vermont official government source (legislature.vermont.gov),Legislation or statute,https://legislature.vermont.gov/statutes/section/23/041/04203,Source added,2026-07-20
Virginia,VA,Virginia does not yet have a comprehensive statewide framework for driverless commercial deployment. A state work group is developing recommendations and draft legislation.,Virginia official government source (law.lis.virginia.gov),Government agency,https://law.lis.virginia.gov/uncodifiedacts/2025/session1/chapter498/,Source added,2026-07-20
Washington,WA,"Washington operates an autonomous vehicle self-certification testing program. Participating entities must maintain at least $5 million in liability insurance, but the program does not provide broad commercial authorization.",Washington official government source (app.leg.wa.gov),Government agency,https://app.leg.wa.gov/rcw/default.aspx?cite=46.30&full=true,Source added,2026-07-20
West Virginia,WV,"West Virginia permits fully autonomous passenger and commercial vehicles. Local governments cannot impose separate AV-specific fees, taxes, performance standards, or operating restrictions.",West Virginia official government source (code.wvlegislature.gov),Legislation or statute,https://code.wvlegislature.gov/17H-1/,Source added,2026-07-20
Wisconsin,WI,Wisconsin currently requires an operator to remain behind the wheel and in physical control of the vehicle. Testing is allowed only when a responsible human operator is present.,Wisconsin official government source (wisconsindot.gov),Transportation agency,https://wisconsindot.gov/Pages/projects/multimodal/cav/Rules.aspx,Source added,2026-07-20
Wyoming,WY,"Wyoming has a statewide framework regulating the registration, licensing, testing, and operation of vehicles equipped with automated driving systems.",Wyoming official government source (wyoleg.gov),Government agency,https://wyoleg.gov/Legislation/2022/SF0016,Source added,2026-07-20
