requirement_id,state,state_code,activity,category,measure,legal_finding,base_score,scope_band,scope_factor,adjusted_score,include_in_index,coding_status,source_url,last_verified,coding_note
HI-HO-01,Hawaii,HI,Commercial driverless passenger service,Human-operator restrictions,Onboard human operator,Onboard human operator recorded for testing,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://hidot.hawaii.gov/highways/hdot-launches-autonomous-electric-shuttle-at-daniel-k-inouye-international-airport/,2026-07-20,
HI-OO-01,Hawaii,HI,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://hidot.hawaii.gov/highways/hdot-launches-autonomous-electric-shuttle-at-daniel-k-inouye-international-airport/,2026-07-20,
ID-ME-01,Idaho,ID,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://apps.itd.idaho.gov/Apps/MediaManagerMVC/PressRelease/Preview/6989,2026-07-20,
ID-OO-01,Idaho,ID,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://apps.itd.idaho.gov/Apps/MediaManagerMVC/PressRelease/Preview/6989,2026-07-20,
IL-ME-01,Illinois,IL,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://www.ilga.gov/Legislation/BillStatus?DocNum=4663&DocTypeID=HB&GAID=18&SessionID=114,2026-07-20,
IL-OO-01,Illinois,IL,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://www.ilga.gov/Legislation/BillStatus?DocNum=4663&DocTypeID=HB&GAID=18&SessionID=114,2026-07-20,
IN-ME-01,Indiana,IN,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://www.in.gov/indot/emerging-mobility/connected-and-automated-vehicles/,2026-07-20,
IN-OO-01,Indiana,IN,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://www.in.gov/indot/emerging-mobility/connected-and-automated-vehicles/,2026-07-20,
IA-ME-01,Iowa,IA,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://www.legis.iowa.gov/docs/aco/arc/5621C.pdf,2026-07-20,
IA-SA-01,Iowa,IA,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://www.legis.iowa.gov/docs/aco/arc/5621C.pdf,2026-07-20,
KS-ME-01,Kansas,KS,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://www.kslegislature.gov/li_2022/b2021_22/measures/documents/summary_sb_313_2022.pdf,2026-07-20,
KS-SA-01,Kansas,KS,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://www.kslegislature.gov/li_2022/b2021_22/measures/documents/summary_sb_313_2022.pdf,2026-07-20,
KY-ME-01,Kentucky,KY,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=55488,2026-07-20,
KY-SA-01,Kentucky,KY,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=55488,2026-07-20,
LA-ME-01,Louisiana,LA,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://legis.la.gov/legis/Law.aspx?d=1148306,2026-07-20,
ME-ME-01,Maine,ME,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,Testing or controlled-pilot pathway only,0.5,Fully,1.0,0.5,True,Provisional - source review required,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/229c800.docx,2026-07-20,
ME-SA-01,Maine,ME,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/229c800.docx,2026-07-20,
ME-HO-01,Maine,ME,Commercial driverless passenger service,Human-operator restrictions,Onboard human operator,Onboard human operator recorded for testing,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/229c800.docx,2026-07-20,
ME-OO-01,Maine,ME,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/229c800.docx,2026-07-20,
MD-ME-01,Maryland,MD,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb1295?ys=2026rs,2026-07-20,
MD-OO-01,Maryland,MD,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb1295?ys=2026rs,2026-07-20,
MA-ME-01,Massachusetts,MA,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://www.mass.gov/guides/testing-automated-driving-systems-in-massachusetts,2026-07-20,
MA-OO-01,Massachusetts,MA,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://www.mass.gov/guides/testing-automated-driving-systems-in-massachusetts,2026-07-20,
MI-ME-01,Michigan,MI,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-300-1949-VI-AUTOMATED-VEHICLES,2026-07-20,
MN-ME-01,Minnesota,MN,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://dot.state.mn.us/automated/preparingmn.html,2026-07-20,
MN-OO-01,Minnesota,MN,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://dot.state.mn.us/automated/preparingmn.html,2026-07-20,
MS-ME-01,Mississippi,MS,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://www.legislature.ms.gov/media/1323/2023_summary_final.pdf,2026-07-20,
MS-SA-01,Mississippi,MS,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://www.legislature.ms.gov/media/1323/2023_summary_final.pdf,2026-07-20,
MO-ME-01,Missouri,MO,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://documents.house.mo.gov/billtracking/bills261/sumpdf/HB2069C.pdf,2026-07-20,
MO-OO-01,Missouri,MO,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://documents.house.mo.gov/billtracking/bills261/sumpdf/HB2069C.pdf,2026-07-20,
MT-ME-01,Montana,MT,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://leg.mt.gov/content/Committees/Interim/2023-2024/Transportation/Meetings/September-2024/4.2.06.010-AV-Report-LSD.pdf,2026-07-20,
NE-ME-01,Nebraska,NE,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://nebraskalegislature.gov/laws/statutes.php?statute=60-3303,2026-07-20,
NV-ME-01,Nevada,NV,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://www.leg.state.nv.us/nrs/nrs-482a.html,2026-07-20,
NH-ME-01,New Hampshire,NH,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,Testing or controlled-pilot pathway only,0.5,Fully,1.0,0.5,True,Provisional - source review required,https://gc.nh.gov/rsa/html/XX/242/242-mrg.htm,2026-07-20,
NH-SA-01,New Hampshire,NH,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://gc.nh.gov/rsa/html/XX/242/242-mrg.htm,2026-07-20,
NH-HO-01,New Hampshire,NH,Commercial driverless passenger service,Human-operator restrictions,Onboard human operator,Onboard human operator recorded for testing,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://gc.nh.gov/rsa/html/XX/242/242-mrg.htm,2026-07-20,
NH-OO-01,New Hampshire,NH,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://gc.nh.gov/rsa/html/XX/242/242-mrg.htm,2026-07-20,
NJ-ME-01,New Jersey,NJ,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://www.njleg.state.nj.us/bill-search/2026/S1677/bill-text?f=S2000&n=1677_U1,2026-07-20,
NJ-OO-01,New Jersey,NJ,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://www.njleg.state.nj.us/bill-search/2026/S1677/bill-text?f=S2000&n=1677_U1,2026-07-20,
NM-ME-01,New Mexico,NM,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,Testing or controlled-pilot pathway only,0.5,Fully,1.0,0.5,True,Provisional - source review required,https://www.nmlegis.gov/Legislation/Legislation?Chamber=H&LegNo=270&LegType=B&year=21,2026-07-20,
NM-SA-01,New Mexico,NM,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://www.nmlegis.gov/Legislation/Legislation?Chamber=H&LegNo=270&LegType=B&year=21,2026-07-20,
NY-ME-01,New York,NY,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://dmv.ny.gov/business/autonomous-vehicle-technology-demonstration-testing-permit,2026-07-20,
NY-OO-01,New York,NY,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://dmv.ny.gov/business/autonomous-vehicle-technology-demonstration-testing-permit,2026-07-20,
NC-ME-01,North Carolina,NC,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-401.html,2026-07-20,
ND-ME-01,North Dakota,ND,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://ndlegis.gov/cencode/t39c01.pdf,2026-07-20,
OH-ME-01,Ohio,OH,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,Testing or controlled-pilot pathway only,0.5,Fully,1.0,0.5,True,Provisional - source review required,https://drive.ohio.gov/about/policy,2026-07-20,
OH-SA-01,Ohio,OH,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://drive.ohio.gov/about/policy,2026-07-20,
OH-OO-01,Ohio,OH,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://drive.ohio.gov/about/policy,2026-07-20,
OK-ME-01,Oklahoma,OK,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://oksenate.gov/press-releases/bill-regulate-self-driving-vehicles-signed-law,2026-07-20,
OR-ME-01,Oregon,OR,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://www.oregon.gov/odot/programs/pages/cav.aspx,2026-07-20,
OR-OO-01,Oregon,OR,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://www.oregon.gov/odot/programs/pages/cav.aspx,2026-07-20,
PA-ME-01,Pennsylvania,PA,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://www.pa.gov/agencies/penndot/research-planning-and-innovation/automated-vehicle,2026-07-20,
PA-SA-01,Pennsylvania,PA,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://www.pa.gov/agencies/penndot/research-planning-and-innovation/automated-vehicle,2026-07-20,
RI-ME-01,Rhode Island,RI,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://planning.ri.gov/sites/g/files/xkgbur826/files/documents/LRTP/LRTP-app/Appendix-D.pdf,2026-07-20,
RI-OO-01,Rhode Island,RI,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://planning.ri.gov/sites/g/files/xkgbur826/files/documents/LRTP/LRTP-app/Appendix-D.pdf,2026-07-20,
SC-ME-01,South Carolina,SC,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://www.scstatehouse.gov/sess120_2013-2014/bills/4015.htm,2026-07-20,
SC-OO-01,South Carolina,SC,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://www.scstatehouse.gov/sess120_2013-2014/bills/4015.htm,2026-07-20,
SD-ME-01,South Dakota,SD,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://sdlegislature.gov/Statutes/32-41,2026-07-20,
TN-ME-01,Tennessee,TN,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://wapp.capitol.tn.gov/apps/BillInfo/Default?BillNumber=SB0151&ga=110,2026-07-20,
TN-OO-02,Tennessee,TN,Commercial driverless passenger service,Other operational restrictions,AV-specific financial responsibility,"Recorded minimum: $5,000,000",0.05,Fully,1.0,0.05,True,Provisional - source review required,https://wapp.capitol.tn.gov/apps/BillInfo/Default?BillNumber=SB0151&ga=110,2026-07-20,Applied only when the recorded amount governs the headline commercial activity; ordinary auto insurance is not scored.
TX-ME-01,Texas,TX,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://statutes.capitol.texas.gov/Docs/TN/htm/TN.545.htm,2026-07-20,
UT-ME-01,Utah,UT,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://le.utah.gov/xcode/Title41/Chapter26/41-26.html,2026-07-20,
VT-ME-01,Vermont,VT,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://legislature.vermont.gov/statutes/section/23/041/04203,2026-07-20,
VA-ME-01,Virginia,VA,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://law.lis.virginia.gov/uncodifiedacts/2025/session1/chapter498/,2026-07-20,
VA-OO-01,Virginia,VA,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://law.lis.virginia.gov/uncodifiedacts/2025/session1/chapter498/,2026-07-20,
WA-ME-01,Washington,WA,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,Testing or controlled-pilot pathway only,0.5,Fully,1.0,0.5,True,Provisional - source review required,https://app.leg.wa.gov/rcw/default.aspx?cite=46.30&full=true,2026-07-20,
WA-SA-01,Washington,WA,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://app.leg.wa.gov/rcw/default.aspx?cite=46.30&full=true,2026-07-20,
WA-OO-01,Washington,WA,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://app.leg.wa.gov/rcw/default.aspx?cite=46.30&full=true,2026-07-20,
WV-ME-01,West Virginia,WV,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://code.wvlegislature.gov/17H-1/,2026-07-20,
WI-ME-01,Wisconsin,WI,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://wisconsindot.gov/Pages/projects/multimodal/cav/Rules.aspx,2026-07-20,
WY-ME-01,Wyoming,WY,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,Testing or controlled-pilot pathway only,0.5,Fully,1.0,0.5,True,Provisional - source review required,https://wyoleg.gov/Legislation/2022/SF0016,2026-07-20,
WY-SA-01,Wyoming,WY,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://wyoleg.gov/Legislation/2022/SF0016,2026-07-20,
